Label,Count
Wind,455
Vegetation,219
Turdus merula_Eurasian Blackbird,7290
Troglodytes troglodytes_Eurasian Wren,1159
Sylvia atricapilla_Eurasian Blackcap,3742
Regulus regulus_Goldcrest,4091
Regulus ignicapilla_Common Firecrest,2777
Phylloscopus collybita_Common Chiffchaff,2014
Periparus ater_Coal Tit,8109
Parus major_Great Tit,295
None,13374
Muscicapa striata_Spotted Flycatcher,1390
Loxia curvirostra_Common Crossbill,912
Lophophanes cristatus_Crested Tit,1018
Fringilla coelebs_Common Chaffinch,7901
Erithacus rubecula_European Robin,1554
Cuculus canorus_Common Cuckoo,85
Coccothraustes coccothraustes_Hawfinch,669
Certhia familiaris_Eurasian Treecreeper,2118
Anthus trivialis_Tree Pipit,3883
Aeroplane,41
